,maps,mean,std
0,Stiffness,0.015281233871192262,0.0035549931218850045
1,Volume,0.015236268963730126,0.0033949186659884387
2,DR,0.015842429378576446,0.0029946378275059367
3,Stiffness-Volume,0.017050174244663173,0.003220880013074408
4,Stiffness-DR,0.017776932632713988,0.004455856614558852
5,Volume-DR,0.017381379478856138,0.004004455907880742
6,Stiffness-Volume-DR,0.018927231169583506,0.0031130807664844135
